ACTUAL_AREA,ACTUAL_WORTH,AREA_EN,INSTANCE_DATE,PROCEDURE_AREA,PROCEDURE_NUMBER,PROCEDURE_YEAR,PROPERTY_TOTAL_VALUE,PROPERTY_TYPE_EN,PROP_SUB_TYPE_EN,ROW_STATUS_CODE
1296.69,20936162,Al Nahda First,2026-03-12T10:38:00,1296.69,1468,2026,20936162,Land,Commercial,COMPLETED
1950.96,21000000,Um Al Sheif,2026-03-15T11:56:39,1950.96,1499,2026,21000000,Land,Residential,COMPLETED
1327.88,21439751,Al Merkadh,2026-03-10T10:32:00,1327.88,1435,2026,21439751,Land,Residential,COMPLETED
1660.46,21447630,Wadi Al Safa 3,2026-03-10T10:23:36,1660.46,1432,2026,21447630,Land,Residential,COMPLETED
931.08,22000000,Al Thanyah Fifth,2026-03-23T09:35:51,931.08,1565,2026,22000000,Land,Commercial,COMMITTED
2937.96,22136735,Madinat Al Mataar,2026-03-25T13:50:50,2937.96,1627,2026,22136735,Land,Airport,COMPLETED
1062.16,22865968,Al Suq Al Kabeer,2026-03-10T11:04:04,1067.73,1440,2026,22865968,Land,Commercial,COMPLETED
2460.95,24000000,Um Ramool,2026-03-04T12:10:19,2460.95,1375,2026,24000000,Land,Industrial,COMPLETED
1050.78,24000000,Al Hebiah Third,2026-03-26T16:20:30,1050.78,1654,2026,24000000,Land,Residential,COMPLETED
7693.14,24842457,Madinat Hind 3,2026-03-16T11:31:02,7693.14,1517,2026,24842457,Land,Residential,COMPLETED
1935.21,25000000,Wadi Al Safa 5,2026-03-23T09:43:11,1935.21,1567,2026,25000000,Land,Commercial,COMPLETED
1550.11,25027844,Al Nahda First,2026-03-10T11:32:59,1550.11,1442,2026,25027844,Land,Commercial,COMPLETED
930.25,25032795,Al Wasl,2026-03-13T11:34:06,930.25,1487,2026,25032795,Land,Residential,COMPLETED
1040.9,25209323,Jumeirah First,2026-03-03T09:44:11,1040.9,1352,2026,25209323,Land,Land,COMPLETED
1858.06,25999964,Al Goze First,2026-03-05T10:43:13,1858.06,1388,2026,25999964,Land,Commercial,COMPLETED
994.31,26756634,Al Wasl,2026-03-13T20:40:11,994.31,1492,2026,26756634,Land,Residential,COMPLETED
1999.93,28000000,Al Warsan First,2026-03-09T13:03:31,1999.93,1420,2026,28000000,Land,Commercial,COMPLETED
13185.36,28000000,Dubai Investment Park First,2026-03-30T08:39:17,13185.36,1663,2026,28000000,Land,Commercial,COMPLETED
4045.83,28306791,Wadi Al Safa 3,2026-03-23T12:34:50,4045.83,1573,2026,28306791,Land,Residential,COMPLETED
1335.95,30000000,Jumeirah Third,2026-03-09T14:16:26,1335.95,1425,2026,30000000,Land,Residential,COMPLETED
1375,30000000,Al Manara,2026-03-10T13:33:24,1374.96,1450,2026,30000000,Land,Residential,COMPLETED
